usuario,VIBB,VIBM,VIBA,FORB,FORM,FORA,SOUB,SOUM,SOUA,MMB,MMM,MMA
1,612.223,279.796,608.504,637.534,367.913,301.953,223.688,626.878,360.244,497.361,697.551,1.965.271
2,690.668,435.142,532.281,637.672,226.471,103.835,73.76,531.846,308.528,59.333,496.298,273.568
3,118.909,647.051,673.966,477.632,466.945,448.605,244.249,525.264,511.133,118.028,453.936,530.916
4,107.699,298.717,282.733,248.131,108.098,196.451,418.208,86.356,113.765,295.526,139.45,50.534
5,612.223,279.796,608.504,637.534,367.913,301.953,223.688,626.878,360.244,497.361,697.551,1.965.271
6,690.668,435.142,532.281,637.672,226.471,103.835,73.76,531.846,308.528,59.333,496.298,273.568
7,118.909,647.051,673.966,477.632,466.945,448.605,244.249,525.264,511.133,118.028,453.936,530.916
8,107.699,298.717,282.733,248.131,108.098,196.451,418.208,86.356,113.765,295.526,139.45,50.534
9,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
10,281.293,340.821,736.974,939.784,665.713,456.049,123.107,100.563,549.265,770.525,474.838,128.462
11,185.39,811.601,130.666,100.009,844.508,71.9,227.163,281.336,310.676,224.726,137.389,678.941
12,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
13,612.223,279.796,608.504,637.534,367.913,301.953,223.688,626.878,360.244,497.361,697.551,1.965.271
14,690.668,435.142,532.281,637.672,226.471,103.835,73.76,531.846,308.528,59.333,496.298,273.568
15,118.909,647.051,673.966,477.632,466.945,448.605,244.249,525.264,511.133,118.028,453.936,530.916
16,107.699,298.717,282.733,248.131,108.098,196.451,418.208,86.356,113.765,295.526,139.45,50.534
17,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
18,281.293,340.821,736.974,939.784,665.713,456.049,123.107,100.563,549.265,770.525,474.838,128.462
19,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
20,281.293,340.821,736.974,939.784,665.713,456.049,123.107,100.563,549.265,770.525,474.838,128.462
21,185.39,811.601,130.666,100.009,844.508,71.9,227.163,281.336,310.676,224.726,137.389,678.941
22,612.223,279.796,608.504,637.534,367.913,301.953,223.688,626.878,360.244,497.361,697.551,1.965.271
23,690.668,435.142,532.281,637.672,226.471,103.835,73.76,531.846,308.528,59.333,496.298,273.568
24,118.909,647.051,673.966,477.632,466.945,448.605,244.249,525.264,511.133,118.028,453.936,530.916
25,107.699,298.717,282.733,248.131,108.098,196.451,418.208,86.356,113.765,295.526,139.45,50.534
26,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
27,281.293,340.821,736.974,939.784,665.713,456.049,123.107,100.563,549.265,770.525,474.838,128.462
28,185.39,811.601,130.666,100.009,844.508,71.9,227.163,281.336,310.676,224.726,137.389,678.941
29,185.39,811.601,130.666,100.009,844.508,71.9,227.163,281.336,310.676,224.726,137.389,678.941
30,124.77,111.47,61.791,954.148,349.201,519.532,309.806,23.481,112.263,429.374,217.048,486.588
